time,ax,ay,az,atotal
2.073,-0.02,0.03,-0.02,0.04
2.083,-0.03,0.03,-0.01,0.04
2.093,-0.03,0.02,0,0.04
2.103,-0.02,0.03,0.01,0.04
2.113,-0.03,0.02,0,0.04
2.123,-0.03,0.02,-0.02,0.04
2.132,-0.02,0.03,-0.02,0.04
2.143,-0.03,0.02,0,0.04
2.152,-0.03,0.04,0,0.05
2.162,-0.03,0.03,-0.02,0.04
2.172,-0.03,0.02,-0.02,0.04
2.182,-0.02,0.03,-0.02,0.04
2.192,-0.03,0.03,0.01,0.04
2.202,-0.03,0.02,0,0.04
2.212,-0.03,0.03,-0.18,0.18
2.222,0.07,0.13,-0.83,0.84
2.232,-0.02,-2.19,-0.11,2.2
2.242,1.2,-1.06,0.98,1.88
2.252,-0.97,2.2,1.27,2.72
2.262,-0.59,1.98,-0.28,2.08
2.272,0.08,-0.38,-1.37,1.43
2.282,0.01,-0.9,-0.77,1.18
2.292,-0.04,0.5,0.87,1.01
2.302,0,0.02,1.34,1.34
2.312,-0.02,0.04,0.05,0.07
2.322,-0.04,0.03,-1.01,1.01
2.332,-0.03,0,-0.63,0.63
2.341,-0.02,-0.01,0.36,0.37
2.351,-0.03,0.05,0.81,0.82
2.361,-0.03,0.04,0.11,0.12
2.372,-0.12,-0.02,-0.62,0.63
2.381,0.03,0.06,-0.55,0.55
2.391,0.02,-0.02,0.17,0.17
2.401,-0.03,0.06,0.47,0.48
2.411,-0.03,0.03,0.09,0.1
2.421,-0.02,0.01,-0.34,0.34
2.431,-0.02,0.01,-0.29,0.29
2.441,-0.02,0.03,0.17,0.17
2.451,-0.02,0.05,0.29,0.29
2.461,-0.02,0.03,0,0.03
2.471,-0.02,0.01,-0.25,0.25
2.481,-0.02,0.02,-0.16,0.16
2.491,-0.03,0.03,0.16,0.16
2.501,-0.02,0.04,0.18,0.18
2.511,-0.02,0.02,-0.05,0.06
2.521,-0.03,0,-0.19,0.19
2.531,-0.02,0.02,-0.05,0.06
2.541,-0.03,0.03,0.15,0.16
2.551,-0.02,0.04,0.11,0.12
2.561,-0.02,0.02,-0.1,0.11
2.571,-0.03,0.02,-0.15,0.15
2.581,-0.03,0.03,0.01,0.04
2.591,-0.03,0.03,0.14,0.15
2.601,-0.02,0.03,0.03,0.05
2.61,0.19,-0.02,-0.42,0.46
2.621,-0.28,-1.08,-1.52,1.89
2.63,0.35,-3.26,1.81,3.74
2.64,0.62,0.55,1,1.3
2.65,-0.66,2.52,0.41,2.64
2.66,-0.34,1.78,-1.97,2.68
2.67,-0.22,0.03,-0.83,0.86
2.68,0.09,-0.52,0.3,0.61
2.69,-0.03,0.33,1.74,1.77
2.7,-0.01,0,0.48,0.48
2.71,0,0.01,-0.9,0.9
2.72,-0.06,-0.06,-1.06,1.07
2.73,-0.03,0.06,0.18,0.19
2.74,-0.04,0.1,0.96,0.96
2.75,-0.02,0.08,0.47,0.48
2.76,-0.01,-0.03,-0.51,0.51
2.77,-0.03,-0.04,-0.75,0.76
2.78,-0.03,0.04,0,0.05
2.79,-0.03,0.06,0.63,0.64
2.8,-0.04,0.1,0.37,0.39
2.81,-0.07,0.13,-0.29,0.33
2.82,-0.03,-0.11,-0.56,0.57
2.83,0.07,-0.06,-0.12,0.15
2.84,-0.05,0.06,0.33,0.34
2.849,-0.02,0.03,0.25,0.26
2.859,-0.03,0.02,-0.14,0.15
2.869,-0.02,0.01,-0.33,0.33
2.879,-0.03,0.03,-0.03,0.05
2.889,-0.04,0.04,0.25,0.26
2.899,-0.02,0.04,0.14,0.15
2.909,-0.02,0.02,-0.15,0.15
2.919,-0.02,0.02,-0.2,0.2
2.929,-0.03,0.03,0.02,0.05
2.939,-0.02,0.04,0.19,0.19
2.949,-0.02,0.03,0.04,0.06
2.959,-0.03,0.01,-0.16,0.16
2.969,-0.03,0.02,-0.13,0.13
2.979,-0.02,0.03,0.09,0.1
2.989,-0.02,0.04,0.13,0.14
2.999,-0.02,0.02,-0.04,0.05
3.009,-0.02,0.02,-0.14,0.14
3.019,-0.02,0.02,-0.03,0.05
3.029,0,0.04,0.09,0.09
3.039,0.27,0.13,-0.09,0.31
3.049,-0.43,-0.42,-1.27,1.4
3.059,-0.44,-2.28,0.73,2.43
3.069,0.88,0.72,0.87,1.43
3.078,-0.35,2.38,0.99,2.6
3.089,-0.15,0.02,-1.09,1.1
3.098,0,-0.57,-1.08,1.22
3.108,-0.02,0.17,-0.11,0.2
3.118,-0.03,0.09,1.18,1.19
3.128,-0.02,0.05,0.85,0.86
3.138,-0.01,0.01,-0.45,0.45
3.148,-0.05,-0.04,-0.96,0.96
3.158,-0.02,0.03,-0.16,0.16
3.168,-0.03,0.07,0.63,0.63
3.178,-0.04,0.05,0.57,0.57
3.188,-0.03,0.01,-0.26,0.26
3.198,-0.03,-0.01,-0.6,0.6
3.208,-0.06,0.02,-0.17,0.18
3.218,-0.07,0.15,0.39,0.42
3.228,0.16,0.14,0.27,0.35
3.238,-0.08,-0.22,-0.24,0.34
3.248,-0.03,0.03,-0.39,0.39
3.258,-0.02,0.02,-0.02,0.04
3.268,-0.03,0.03,0.31,0.31
3.278,-0.03,0.03,0.14,0.14
3.288,-0.03,0.02,-0.18,0.19
3.298,-0.03,0.01,-0.22,0.22
3.308,-0.03,0.02,0.05,0.06
3.318,-0.03,0.04,0.21,0.22
3.327,-0.03,0.03,0.03,0.05
3.338,-0.03,0.02,-0.18,0.18
3.347,-0.03,0.02,-0.12,0.13
3.357,-0.03,0.03,0.1,0.1
3.367,-0.02,0.03,0.14,0.15
3.377,-0.03,0.02,-0.03,0.05
3.387,-0.02,0.02,-0.16,0.16
3.397,-0.03,0.03,-0.07,0.08
3.407,-0.03,0.03,0.12,0.13
3.417,-0.02,0.03,0.09,0.1
3.427,-0.02,0.02,-0.09,0.09
3.437,-0.01,0.03,-0.14,0.14
3.447,0.21,0.12,-0.17,0.3
3.457,-0.48,-0.57,-1.34,1.53
3.467,0.16,-2.43,1.17,2.71
3.477,0.37,1.62,1.12,2.01
3.487,-0.41,2.01,0.53,2.12
3.497,0.05,-0.35,-1.55,1.59
